"SCHOOL_YEAR","SYSTEM_ID","ORIGINAL_SCHOOL_ID","CHANGE_TYPE","SYSTEM_ID2","NEW_ID","GRADES","CHANGE_DESC"
"2020-2021","657","0203","SCHOOL_SPECIAL_CASE_RECONFIGURE","657","0203","6,7","Reconfiguration"
"2020-2021","657","0273","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","657","0107","8","Reconfiguration"
"2020-2021","657","0273","SCHOOL_SPECIAL_CASE_RECONFIGURE","657","0273","6,7","Reconfiguration"
"2020-2021","657","0303","SCHOOL_SPECIAL_CASE_RECONFIGURE","657","0303","6,7","Reconfiguration"
"2020-2021","657","0303","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","657","0401","8","Reconfiguration"
"2021-2022","657","0102","SCHOOL_SPECIAL_CASE_RECONFIGURE","657","0102","PK,1,2,3,4","Reconfiguration"
"2021-2022","657","0188","SCHOOL_SPECIAL_CASE_RECONFIGURE","657","0188","PK,1,2,3,4","Reconfiguration"
"2021-2022","657","0188","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","657","0203","5","Reconfiguration"
"2021-2022","657","0195","SCHOOL_SPECIAL_CASE_RECONFIGURE","657","0195","3,4","Reconfiguration"
"2021-2022","657","0195","SCHOOL_SPECIAL_CASE_RECONFIGURE","657","0303","5","Reconfiguration"
"2021-2022","657","0199","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","657","0273","5","Reconfiguration"
"2021-2022","657","1050","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","657","0103","5","Reconfiguration"
"2021-2022","657","1050","SCHOOL_SPECIAL_CASE_RECONFIGURE","657","1050","PK,K,1,2,3,4","Reconfiguration"
"2021-2022","657","2052","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","657","0103","5","Reconfiguration"
"2021-2022","657","2052","SCHOOL_SPECIAL_CASE_RECONFIGURE","657","2052","PK,K,1,2,3,4","Reconfiguration"
"2021-2022","657","3050","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","657","0103","5","Reconfiguration"
"2021-2022","657","3050","SCHOOL_SPECIAL_CASE_RECONFIGURE","657","3050","PK,K,1,2,3,4","Reconfiguration"
"2021-2022","657","4054","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","657","0199","2","Reconfiguration"
"2021-2022","657","4054","SCHOOL_SPECIAL_CASE_RECONFIGURE","657","4054","PK,K,1","Reconfiguration"
"2020-2021","659","2050","SCHOOL_MERGE","659","0107","","Merge"
"2019-2020","661","0103","SCHOOL_SPECIAL_CASE_RECONFIGURE","661","0103","PK,K,1,2,3,4,5","Reconfiguration"
"2019-2020","661","0112","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","661","0103","5","Reconfiguration"
"2019-2020","661","0112","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","661","0107","6","Reconfiguration"
"2019-2020","661","0112","SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED","661","0112","5-6","Closure"
"2019-2020","661","0112","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","661","0113","5","Reconfiguration"
